Country,COW,COW#,World Bank,Year,Amnesty,State Dept.
Guatemala,GUA,90,GTM,1984,5,4
Guatemala,GUA,90,GTM,1985,5,4
Guatemala,GUA,90,GTM,1986,4,4
Guatemala,GUA,90,GTM,1987,4,4
Guatemala,GUA,90,GTM,1988,4,4
Guatemala,GUA,90,GTM,1989,4,4
Guatemala,GUA,90,GTM,1990,5,5
Guatemala,GUA,90,GTM,1991,4,4
Guatemala,GUA,90,GTM,1992,4,4
Guatemala,GUA,90,GTM,1993,4,4
Guatemala,GUA,90,GTM,1994,4,5
Guatemala,GUA,90,GTM,1995,4,5
Guatemala,GUA,90,GTM,1996,4,4
Guatemala,GUA,90,GTM,1997,3,3
Guatemala,GUA,90,GTM,1998,4,3
Guatemala,GUA,90,GTM,1999,3,3
Guatemala,GUA,90,GTM,2000,3,3
Guatemala,GUA,90,GTM,2001,3,3
Guatemala,GUA,90,GTM,2002,3,3
Guatemala,GUA,90,GTM,2003,3,3
Guatemala,GUA,90,GTM,2004,2,3
Guatemala,GUA,90,GTM,2005,3,4
Guatemala,GUA,90,GTM,2006,4,4
Guatemala,GUA,90,GTM,2007,4,3
Guatemala,GUA,90,GTM,2008,2,3
Guatemala,GUA,90,GTM,2009,3,3
Guatemala,GUA,90,GTM,2010,3,3
Guatemala,GUA,90,GTM,2011,2,3
Honduras,HON,91,HND,1976, ,1
Honduras,HON,91,HND,1977,2,1
Honduras,HON,91,HND,1978, ,2
Honduras,HON,91,HND,1979,2,2
Honduras,HON,91,HND,1980,4,2
Honduras,HON,91,HND,1981,4,3
Honduras,HON,91,HND,1982,4,2
Honduras,HON,91,HND,1983,4,2
Honduras,HON,91,HND,1984,4,3
Honduras,HON,91,HND,1985,3,3
Honduras,HON,91,HND,1986,3,3
Honduras,HON,91,HND,1987,3,3
Honduras,HON,91,HND,1988,4,3
Honduras,HON,91,HND,1989,3,3
Honduras,HON,91,HND,1990,3,3
Honduras,HON,91,HND,1991,3,3
Honduras,HON,91,HND,1992,3,3
Honduras,HON,91,HND,1993,3,3
Honduras,HON,91,HND,1994,2,3
Honduras,HON,91,HND,1995,2,3
Honduras,HON,91,HND,1996,3,2
Honduras,HON,91,HND,1997,2,2
Honduras,HON,91,HND,1998,2,3
Honduras,HON,91,HND,1999,3,3
Honduras,HON,91,HND,2000,3,3
