"","YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","HRW","hathaway","ITT","genocide","rummel","massive_repression","executions","negative_sanctions","mass_killing","killing_low","killing_best","killing_high","killing_present","COW_YEAR","id","theta_mean","theta_sd","theta_q025","theta_q975"
"1349",2010,224,94,2,2,2,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"94-2010",11233,1.79980373000777,0.267969934573506,1.29457465133441,2.33020247088123
"1350",2011,224,94,2,1,2,1,NA,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"94-2011",11234,1.61395218444814,0.27499120248468,1.06631580130934,2.15719649940854
"1351",2012,NA,94,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"94-2012",11235,1.56283505605051,0.277101836645185,1.01636853365388,2.12371748837517
"1352",2013,NA,94,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"94-2013",11236,1.57633836569946,0.278493318195349,1.05091219649626,2.15860746469866
"1353",2014,NA,94,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"94-2014",11237,1.67059845775621,0.292876930058868,1.10379736676531,2.26963885553356
"1354",2015,NA,94,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"94-2015",11238,1.8631600232318,0.308244323720774,1.29445289251785,2.50951695876633
"1355",2016,NA,94,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"94-2016",11239,1.93149000775978,0.319072195853301,1.30741833919971,2.60166170190398
"1356",2017,NA,94,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"94-2017",11240,2.24044697139141,0.366574187547753,1.58932342084028,3.0210523959022
"1357",2018,NA,94,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"94-2018",11241,2.4109361399762,0.415905652595267,1.70974538792746,3.28540430843314
"1358",2019,NA,94,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"94-2019",11242,2.53751028665496,0.447690462752231,1.80029799216385,3.45731594673676
"1359",2020,NA,94,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"94-2020",11243,2.64304324565462,0.481298113677082,1.90568570703368,3.75490787621303
"1360",2021,NA,94,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"94-2021",11244,2.69283960041778,0.520406158525906,1.87035861816805,3.95913546029991
"1361",1946,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"95-1946",11343,0.0324074229857296,0.54881751479476,-0.970337436618324,1.13109442307663
"1362",1947,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"95-1947",11344,0.0161274893600437,0.522711799070048,-0.926596654959409,1.02722602942817
"1363",1948,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"95-1948",11345,0.0262554595544225,0.498052557597974,-0.858641832600758,1.00707829200844
"1364",1949,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"95-1949",11346,0.0251438591895304,0.475329922894716,-0.841924526439987,0.917023307629658
"1365",1950,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"95-1950",11347,0.018624503292893,0.452304830096474,-0.796643434610427,0.954875302498991
"1366",1951,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"95-1951",11348,0.020632891161374,0.445133720373905,-0.734369950609879,0.960120617167928
"1367",1952,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"95-1952",11349,0.0245508626112935,0.442596560396421,-0.747207293744723,0.947271084472145
"1368",1953,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"95-1953",11350,0.0376874725792791,0.435412234355524,-0.719787595558982,0.957338523729077
"1369",1954,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"95-1954",11351,0.0230910254361338,0.433545825037023,-0.758423476945297,0.895179625411508
"1370",1955,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"95-1955",11352,0.0301278700984531,0.438262887157999,-0.772575980673988,0.962260889213885
"1371",1956,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1956",11353,0.0448368358919234,0.441859549648981,-0.792204734481925,0.951288814361966
"1372",1957,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1957",11354,0.0515973437546319,0.440824750050246,-0.756480021151868,0.969478853788228
"1373",1958,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1958",11355,0.0562572766159743,0.432475819156513,-0.773327020020856,0.911692098422634
"1374",1959,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1959",11356,0.0777794883867721,0.434951230127416,-0.724682536888193,0.930961681075686
"1375",1960,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1960",11357,0.0910389332665674,0.42819651004896,-0.703552190603331,0.918138444628222
"1376",1961,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1961",11358,0.12245882268137,0.449168141917218,-0.665376774500022,1.07661426502802
"1377",1962,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1962",11359,0.152374621606657,0.45072601333386,-0.64563535641081,1.0989925598822
"1378",1963,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"95-1963",11360,0.202301438424993,0.453344812906908,-0.575064035150479,1.12110695924773
"1379",1964,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1964",11361,0.190572726933804,0.460843169002739,-0.622775480907514,1.16165894773861
"1380",1965,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1965",11362,0.201051096677019,0.464738424943071,-0.651104184696344,1.13205743730182
"1381",1966,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1966",11363,0.219425012403497,0.474144011968391,-0.661169888185465,1.16705370761345
"1382",1967,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1967",11364,0.255475414125024,0.480187308994649,-0.603629966539384,1.21656601380331
"1383",1968,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1968",11365,0.288913748185738,0.489757120575752,-0.582876277650904,1.33843781390274
"1384",1969,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1969",11366,0.315014492917388,0.477903562132393,-0.533412962866015,1.36578093071076
"1385",1970,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"95-1970",11367,0.367004462462607,0.48333390270625,-0.500365043095037,1.33496751578363
"1386",1971,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"95-1971",11368,0.370157990005295,0.470112206064226,-0.466768372998711,1.41243549928411
"1387",1972,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"95-1972",11369,0.347845647166927,0.453741897792138,-0.422415931360606,1.31068108386577
"1388",1973,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"95-1973",11370,0.280193965557959,0.437806778906759,-0.498497777134256,1.2110273596399
"1389",1974,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1974",11371,0.171552427560896,0.419314443043603,-0.599300492807775,1.04602527685767
"1390",1975,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"95-1975",11372,0.0675070647380697,0.365989666815997,-0.631231069937654,0.796991668440725
"1391",1976,NA,95,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1976",11373,-0.0897348939538157,0.308066788837669,-0.690989694644275,0.522013650100636
"1392",1977,NA,95,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1977",11374,-0.159943031684915,0.280221235948421,-0.736401688538348,0.371461360198217
"1393",1978,NA,95,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1978",11375,-0.192374385240778,0.273730260963286,-0.747093224689195,0.337040764373339
"1394",1979,NA,95,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1979",11376,-0.183680395502652,0.253615333512759,-0.674527327995586,0.335648640215928
"1395",1980,NA,95,NA,NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"95-1980",11377,-0.180043248707296,0.246784035047411,-0.634729192318228,0.303134296199286
"1396",1981,503,95,2,2,1,1,NA,2,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1981",11378,-0.230344291958488,0.228905091284743,-0.673371344422001,0.199603516523422
"1397",1982,503,95,1,1,2,1,NA,2,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"95-1982",11379,-0.323628703865497,0.220512618132894,-0.751872629669651,0.138082519185011
"1398",1983,503,95,2,1,2,0,NA,2,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"95-1983",11380,-0.367183821803109,0.218587467202072,-0.775410154245059,0.0535854255035085
"1399",1984,503,95,1,2,1,1,NA,3,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"95-1984",11381,-0.424153312963051,0.214895467788114,-0.849827609191184,-0.0151233847956838
"1400",1985,503,95,1,1,2,1,NA,2,NA,2,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"95-1985",11382,-0.411647703442651,0.21443315956156,-0.820451959270041,0.00746292811831064
"1401",1986,503,95,2,2,2,1,NA,3,NA,2,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"95-1986",11383,-0.463809753809259,0.211741310284091,-0.871238518180764,-0.041514812472837
"1402",1987,503,95,2,1,1,0,3,2,NA,4,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"95-1987",11384,-0.612978332641838,0.21781917966834,-1.0528152046349,-0.180739182683049
"1403",1988,503,95,2,1,0,0,3,3,NA,3,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,"95-1988",11385,-0.869353310600118,0.225591833337777,-1.32855465820723,-0.425851718785438
"1404",1989,503,95,1,0,0,0,3,4,NA,4,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1989",11386,-1.03318439309836,0.240379041792045,-1.50656739621394,-0.558146100309418
"1405",1990,503,95,1,1,1,1,3,2,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1990",11387,-0.373600944395943,0.25614032237023,-0.869301821244981,0.10314902095559
"1406",1991,503,95,2,2,1,1,3,2,NA,3,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1991",11388,-0.109571432366089,0.238770326252084,-0.565200011289936,0.361921823489016
"1407",1992,503,95,2,1,1,0,2,2,NA,3,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1992",11389,0.0702845277524828,0.227350860434061,-0.38466621907619,0.51679024889639
"1408",1993,503,95,2,1,2,1,2,2,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1993",11390,0.335329249109583,0.23409211119934,-0.104331929866913,0.817867921189927
"1409",1994,503,95,2,2,2,0,1,2,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1994",11391,0.506051547006029,0.236649409965434,0.0612567002582753,0.991849639010219
"1410",1995,503,95,2,1,1,0,2,2,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1995",11392,0.47971272619178,0.237838261450631,0.0141620194297903,0.929418902865608
"1411",1996,503,95,2,2,2,1,3,2,NA,2,3,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1996",11393,0.611759318980334,0.244995162068071,0.110684555105603,1.0721770299645
"1412",1997,503,95,2,2,2,1,2,2,NA,2,3,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1997",11394,0.853323860881642,0.246538962545256,0.395111023329267,1.3574140722111
"1413",1998,503,95,2,2,2,2,NA,2,NA,2,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1998",11395,1.03114808344118,0.259501426821666,0.545763674876627,1.54034617196413
"1414",1999,503,95,2,2,2,0,NA,2,NA,2,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-1999",11396,1.08095040448098,0.254962572883417,0.573543165469626,1.570798757371
"1415",2000,503,95,2,2,2,0,NA,2,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2000",11397,1.17193698730852,0.261621266585153,0.682475044422317,1.68429382462376
"1416",2001,503,95,2,2,2,1,NA,2,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2001",11398,1.40969138877724,0.310001649121846,0.830080375027662,2.03939860713032
"1417",2002,503,95,2,2,2,2,NA,1,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2002",11399,1.81464978954426,0.296294345960447,1.25177213170332,2.43553400526928
"1418",2003,503,95,2,2,2,1,NA,2,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2003",11400,1.79728829665872,0.271900481147518,1.28027231065549,2.33395004811029
"1419",2004,503,95,2,2,2,1,NA,2,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2004",11401,1.83038728463728,0.27467945992382,1.29903331985122,2.3974407922999
"1420",2005,503,95,2,2,2,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2005",11402,1.93486278119095,0.279464442536887,1.41706660268261,2.51779178558687
"1421",2006,503,95,2,2,2,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2006",11403,2.01234156945835,0.272215631349634,1.50240069837376,2.54961446932222
"1422",2007,503,95,2,2,2,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2007",11404,2.01612637931419,0.275102834889055,1.51831940436199,2.57434102207151
"1423",2008,503,95,2,2,2,1,NA,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2008",11405,1.87005551757637,0.279564855167144,1.34010079371265,2.43773131106088
"1424",2009,503,95,2,2,2,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2009",11406,1.79003855238385,0.289800096244471,1.26384054386436,2.38099281614244
"1425",2010,503,95,1,1,0,1,2,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2010",11407,1.4264188236803,0.284356107356985,0.849646732412267,1.97187187279273
"1426",2011,503,95,2,2,2,1,1,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2011",11408,1.56141441876924,0.263233546269666,1.04786181877624,2.05338484952483
"1427",2012,NA,95,NA,NA,NA,NA,2,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2012",11409,1.56449972241208,0.284657248175999,0.967037636143367,2.12222255690647
"1428",2013,NA,95,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2013",11410,1.71801481890698,0.334831950746026,1.0594039036798,2.36048071582749
"1429",2014,NA,95,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2014",11411,2.34133326288448,0.515319561083354,1.64954737165774,3.3980193184102
"1430",2015,NA,95,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"95-2015",11412,2.53762396198806,0.519532487974701,1.81546487589329,3.70893870884217
"1431",2016,NA,95,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"95-2016",11413,2.67504357464514,0.535946944401132,1.90890654717806,4.0333736746307
"1432",2017,NA,95,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"95-2017",11414,2.76652287711815,0.545085165648668,1.97118714139744,4.15301636574517
"1433",2018,NA,95,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"95-2018",11415,2.8405233175736,0.604286746583308,2.0467721271596,4.31379130631746
"1434",2019,NA,95,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"95-2019",11416,2.91252314313386,0.639890552601141,2.07325952093739,4.46589008299885
"1435",2020,NA,95,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"95-2020",11417,2.97818613677761,0.65555799802643,2.05956314706961,4.52905720918117
"1436",2021,NA,95,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"95-2021",11418,3.00449031771273,0.696151445142272,1.99263442204826,4.66609871514384
"1437",1946,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"100-1946",1,-1.06667940447206,0.417113548027631,-1.78701387552493,-0.1767246956835
"1438",1947,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"100-1947",2,-1.2090726584145,0.345708629175021,-1.81001871337683,-0.473536070333378
"1439",1948,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,"100-1948",3,-1.45055544904472,0.262979922101349,-1.95255921743417,-0.935392877017916
"1440",1949,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,"100-1949",4,-1.53085715649034,0.243619116188872,-2.00529906730514,-1.03996043351097
"1441",1950,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,"100-1950",5,-1.67310044866664,0.232143114846477,-2.13849205240652,-1.24747975547664
"1442",1951,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,"100-1951",6,-1.74714304510113,0.226862747654719,-2.1940299257554,-1.30137007055116
"1443",1952,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,"100-1952",7,-1.77024180738585,0.220543512913702,-2.18178212425688,-1.35286336768136
"1444",1953,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,"100-1953",8,-1.78763403637664,0.21672482087104,-2.23531509877647,-1.38395264282956
"1445",1954,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,"100-1954",9,-1.77354218019526,0.215262303515007,-2.19885904929233,-1.37547853381226
"1446",1955,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,"100-1955",10,-1.75214371251743,0.215772381335966,-2.20029927645533,-1.34604933148463
"1447",1956,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1956",11,-1.69411656682473,0.226561076534945,-2.16300563001616,-1.26133187769452
"1448",1957,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,NA,"100-1957",12,-1.58414660422699,0.223074604853577,-2.0168535799388,-1.13849119597836
"1449",1958,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1958",13,-1.56533586239103,0.225614914402329,-1.99869010338829,-1.12059562924757
"1450",1959,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"100-1959",14,-1.45570116708148,0.223535409242781,-1.8896506172078,-0.996805773672048
"1451",1960,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,"100-1960",15,-1.38151146277853,0.227508454843597,-1.81912673677966,-0.944819051297853
"1452",1961,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"100-1961",16,-1.3795692962647,0.22665669802611,-1.82426934183588,-0.927583539531751
"1453",1962,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"100-1962",17,-1.38928119768016,0.23073451848122,-1.83420629036567,-0.911163252716021
"1454",1963,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"100-1963",18,-1.42468981708606,0.232511740558759,-1.87871220909055,-0.958847195250005
"1455",1964,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"100-1964",19,-1.50164415653656,0.231755014609478,-1.92492333626505,-1.05790853938751
"1456",1965,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1965",20,-1.64642417421295,0.232348118320763,-2.08755747767498,-1.17978885734883
"1457",1966,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1966",21,-1.70838687362986,0.216223566722183,-2.1349736673263,-1.2690074219852
"1458",1967,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1967",22,-1.74272358182161,0.222434477534488,-2.1863262724539,-1.30872648520702
"1459",1968,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1968",23,-1.74952584183311,0.212452653997425,-2.17423524977789,-1.32067063090345
"1460",1969,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1969",24,-1.7553017748953,0.213118525896704,-2.18539692614407,-1.33508722795852
"1461",1970,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1970",25,-1.75211512972099,0.207494778143646,-2.16023776787256,-1.32448435661487
"1462",1971,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1971",26,-1.7397875152021,0.212056459617784,-2.14656403330841,-1.31086191792385
"1463",1972,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,NA,"100-1972",27,-1.71544554839617,0.214635220993832,-2.1442718899264,-1.30675723094799
"1464",1973,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,NA,NA,NA,NA,"100-1973",28,-1.69367458849423,0.220416480847641,-2.11236281980174,-1.24472932999028
"1465",1974,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1974",29,-1.66487810411179,0.21327331485597,-2.07029919988446,-1.25388958504734
"1466",1975,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1975",30,-1.57679976664553,0.221265467749445,-1.99044067793806,-1.1214430243869
"1467",1976,NA,100,NA,NA,NA,NA,2,2,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1976",31,-1.38887529948163,0.221853052511755,-1.82823686515882,-0.955189008053463
"1468",1977,NA,100,NA,NA,NA,NA,3,2,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1977",32,-1.38927957513667,0.213652433690618,-1.84060171465782,-0.982157931731427
"1469",1978,NA,100,NA,NA,NA,NA,3,2,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1978",33,-1.50061064575559,0.212954955080656,-1.94555571685212,-1.07477268687604
"1470",1979,NA,100,NA,NA,NA,NA,5,3,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1979",34,-1.70535343974498,0.20712982338006,-2.1270559039738,-1.31030130550034
"1471",1980,NA,100,NA,NA,NA,NA,4,3,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1980",35,-1.74944624921875,0.200586742661481,-2.14953981835217,-1.38391446402293
"1472",1981,212,100,1,0,0,0,4,3,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1981",36,-1.8107819019857,0.193196573274114,-2.18884886235498,-1.44500402908484
"1473",1982,212,100,1,0,1,1,5,3,NA,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,"100-1982",37,-1.80101722004387,0.186839557257236,-2.17751042467841,-1.44571387584696
"1474",1983,212,100,0,0,NA,0,4,3,NA,NA,NA,0,1,0,NA,NA,1,NA,NA,NA,NA,"100-1983",38,-1.81013665132044,0.185784061433201,-2.18833484334033,-1.46530614774174
"1475",1984,212,100,0,0,1,0,4,3,NA,NA,NA,0,1,0,NA,NA,1,NA,NA,NA,NA,"100-1984",39,-1.80222185039586,0.185217804135991,-2.1586841156631,-1.44185855600379
"1476",1985,212,100,0,0,1,0,4,3,NA,3,NA,0,1,0,NA,NA,1,NA,NA,NA,NA,"100-1985",40,-1.79919653797288,0.187715105695153,-2.19397643936141,-1.42550602628688
"1477",1986,212,100,0,0,1,1,5,4,NA,3,NA,0,1,0,NA,NA,1,NA,NA,NA,NA,"100-1986",41,-1.84786182069906,0.190234520087852,-2.21207721124817,-1.48505311839037
"1478",1987,212,100,0,0,0,0,4,4,NA,3,NA,0,1,0,NA,NA,1,NA,NA,NA,NA,"100-1987",42,-1.87232029684666,0.183778147327725,-2.22737696820608,-1.51308589917485
"1479",1988,212,100,0,0,0,0,5,4,NA,2,NA,0,NA,0,NA,NA,1,NA,NA,NA,NA,"100-1988",43,-1.88332554769249,0.185023801998532,-2.26156729860679,-1.5516439275037
"1480",1989,212,100,0,0,1,0,5,4,NA,5,NA,0,NA,NA,NA,NA,1,0,NA,NA,0,"100-1989",44,-1.8184719264918,0.168483292125072,-2.16582101307305,-1.49726423701487
"1481",1990,212,100,0,0,0,0,5,5,NA,5,NA,0,NA,NA,NA,NA,1,80,92,100,1,"100-1990",45,-1.83223153772786,0.121180635833683,-2.07271313911845,-1.592531554614
